sr_no,name,id,city,address,work_sector,Address,City,State,Telephone,Mobile No,Website Url,E-mail
,,,,,,,,,,,,
1,ASSOCIATION FOR SOCIAL SERVICE AND REHABILITATION OF THE AGED ASSRA,"show_ngo_info(""165260"");","42540 OF 2002, New Delhi (DELHI)","BB-9-G, DDA FLATS, Munirka, Third Floor","Education & Literacy,Health & Family Welfare,Aged/Elderly,Differently Abled,Environment & Forests,Rural Development & Poverty Alleviation,Tribal Affairs,Vocational Training,Women's Development & Empowerment","BB-9-G, DDA FLATS, Munirka, Third Floor",New Delhi,DELHI,Not Available,9810212917,Not Available,assra4u(at)gmail[dot]com
,,,,,,,,,,,,
2,24X7 Care Foundation,"show_ngo_info(""223052"");","S/2286/SDM/NW/2015, NEW DELHI (DELHI)","H.No-69, 1 st Floor, Block-B, Pocket-5, Sector-4, Rohini, Delhi-110085","Children,Aged/Elderly,Health & Family Welfare,Women's Development & Empowerment","BB-9-G, DDA FLATS, Munirka, Third Floor",New Delhi,DELHI,Not Available,9810212917,Not Available,assra4u(at)gmail[dot]com
,,,,,,,,,,,,
3,321 Education Foundation,"show_ngo_info(""168727"");","2415, New Delhi (DELHI)","55-A, JOR BAGH",Education & Literacy,"H.No-69, 1 st Floor, Block-B, Pocket-5, Sector-4, Rohini, Delhi-110085",NEW DELHI,DELHI,Not Available,7065208000,http://www.24x7carefoundation.org,24x7carefoundation(at)gmail[dot]com
,,,,,,,,,,,,
4,7 HEXAGON TECH LABS PRIVATE LIMITED,"show_ngo_info(""212899"");","U72300DL2014PTC272263, MUKHARJEE NAGAR (DELHI)","B-203, 2ND FLOOR, SIGNATURE VIEW APPARTMENTS, MUKHARJEE NAGAR, NEW DELHI- 110009",Data Not Found,"55-A, JOR BAGH",New Delhi,DELHI,Not Available,9538205909,http://www.321-foundation.org/#,finance(at)321-foundation[dot]org
,,,,,,,,,,,,
5,A Giggles Welfare Organisation,"show_ngo_info(""74954"");","59154, Delhi (DELHI)","E-74,3rd Floor Bharat Nagar,New Friends Colony, New Delhi-110025","Education & Literacy,Health & Family Welfare,Human Rights,Vocational Training,Women's Development & Empowerment","B-203, 2ND FLOOR, SIGNATURE VIEW APPARTMENTS, MUKHARJEE NAGAR, NEW DELHI- 110009",MUKHARJEE NAGAR,DELHI,Not Available,9818098518,Not Available,sandeep_skills(at)hotmail[dot]com
