sr_no,name,city,address,work_sector,Address,City,State,Telephone,Mobile No,Website Url,E-mail
1,ASSOCIATION FOR SOCIAL SERVICE AND REHABILITATION OF THE AGED ASSRA,"42540 OF 2002, New Delhi (DELHI)","BB-9-G, DDA FLATS, Munirka, Third Floor","Education & Literacy,Health & Family Welfare,Aged/Elderly,Differently Abled,Environment & Forests,Rural Development & Poverty Alleviation,Tribal Affairs,Vocational Training,Women's Development & Empowerment","BB-9-G, DDA FLATS, Munirka, Third Floor",New Delhi,DELHI,Not Available,9810212917,Not Available,assra4u@gmail.com
2,24X7 Care Foundation,"S/2286/SDM/NW/2015, NEW DELHI (DELHI)","H.No-69, 1 st Floor, Block-B, Pocket-5, Sector-4, Rohini, Delhi-110085","Children,Aged/Elderly,Health & Family Welfare,Women's Development & Empowerment","BB-9-G, DDA FLATS, Munirka, Third Floor",New Delhi,DELHI,Not Available,9810212917,Not Available,assra4u@gmail.com
3,321 Education Foundation,"2415, New Delhi (DELHI)","55-A, JOR BAGH",Education & Literacy,"H.No-69, 1 st Floor, Block-B, Pocket-5, Sector-4, Rohini, Delhi-110085",NEW DELHI,DELHI,Not Available,7065208000,http://www.24x7carefoundation.org,24x7carefoundation@gmail.com
4,7 HEXAGON TECH LABS PRIVATE LIMITED,"U72300DL2014PTC272263, MUKHARJEE NAGAR (DELHI)","B-203, 2ND FLOOR, SIGNATURE VIEW APPARTMENTS, MUKHARJEE NAGAR, NEW DELHI- 110009",Data Not Found,"55-A, JOR BAGH",New Delhi,DELHI,Not Available,9538205909,http://www.321-foundation.org/#,finance@321-foundation.org
5,A Giggles Welfare Organisation,"59154, Delhi (DELHI)","E-74,3rd Floor Bharat Nagar,New Friends Colony, New Delhi-110025","Education & Literacy,Health & Family Welfare,Human Rights,Vocational Training,Women's Development & Empowerment","B-203, 2ND FLOOR, SIGNATURE VIEW APPARTMENTS, MUKHARJEE NAGAR, NEW DELHI- 110009",MUKHARJEE NAGAR,DELHI,Not Available,9818098518,Not Available,sandeep_skills@hotmail.com
6,A New Road,"911, New Delhi (DELHI)","C-32, Dwarkadheesh Apartments, Pkt-2, Sector-12Dwarka, New Delhi-110078","Children,Education & Literacy,Women's Development & Empowerment,Youth Affairs","E-74,3rd Floor Bharat Nagar,New Friends Colony, New Delhi-110025",Delhi,DELHI,011-26250001,Not Available,http://www.agwo.org,contact@agwo.org
7,A P GOYAL CHARITABLE TRUST,"4906, DELHI (DELHI)",66 SHANKAR VIHAR VIKAS MARGNEAR NIRMAN VIHAR,Data Not Found,"C-32, Dwarkadheesh Apartments, Pkt-2, Sector-12
Dwarka, New Delhi-110078",New Delhi,DELHI,Not Available,9810663406,Not Available,moumita.ghosh@anewroad.org
8,A to Z Foundation,"DL50215748603185M, NEW DELHI (DELHI)",36-B FIRST FLOOR KALKAJI NEW DELHI 110019,"Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Biotechnology,Children,Civic Issues,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Land Resources,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises",66 SHANKAR VIHAR VIKAS MARGNEAR NIRMAN VIHAR,DELHI,DELHI,Not Available,9310141302,Not Available,accounts@agu.edu.in
9,A WAY OF HAPPINESS EDUCATIONAL SOCIETY,"2058, new delhi (DELHI)",A-945 sangam vihar,Education & Literacy,36-B FIRST FLOOR KALKAJI NEW DELHI 110019,NEW DELHI,DELHI,011-00000000,9990100043,Not Available,foundationatoz@gmail.com
10,A ZEPHYR OF GLOBAL AWARNESS AND MEANS AGGRANDIZEMENT,"East/society/977/2014, East Delhi (DELHI)","5/7/13, GEETA COLONY,DELHI","Micro Finance (SHGs),Agriculture,Animal Husbandry, Dairying  &  Fisheries,Disaster Management,Education & Literacy,Environment & Forests,HIV/AIDS,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Sports,Women's Development & Empowerment,Youth Affairs",A-945 sangam vihar,new delhi,DELHI,011-29221330,7053471730,http://awayofhappinessblog.wordpress.com,awohesociety@gmail.com
11,A.B.C. BLOCK RESIDENT WELFARE ASSOCIATION,"S/1214/SDM/NW/2012, NEW DELHI (DELHI)",PLOT NUMBER 423 BLOCK B-2 SULTAN PURI NEW DELHI 110086,Data Not Found,"5/7/13, GEETA COLONY,DELHI",East Delhi,DELHI,Not Available,8003596823,Not Available,AAGAAZ300414@GMAIL.COM
12,A2N Project  Development & Research Foundation,"1670, New Delhi (DELHI)","307, Crown Heights Sector10, Rohini, NearRithala Metro StationNew Delhi - 110085","Tribal Affairs,Vocational Training,Women's Development & Empowerment,Youth Affairs",PLOT NUMBER 423 BLOCK B-2 SULTAN PURI NEW DELHI 110086,NEW DELHI,DELHI,Not Available,9582273707,Not Available,paramjeetabc56@gmail.com
